iter	Passed	Remaining
849	10418	7967
850	10431	7955
851	10443	7942
852	10454	7929
853	10464	7916
854	10476	7903
855	10488	7890
856	10500	7878
857	10511	7865
858	10523	7853
859	10535	7840
860	10546	7826
861	10557	7814
862	10569	7801
863	10581	7789
864	10595	7778
865	10605	7764
866	10617	7752
867	10629	7739
868	10642	7727
869	10652	7714
870	10665	7702
871	10675	7688
872	10689	7677
873	10701	7665
874	10712	7652
875	10726	7640
876	10737	7627
877	10748	7614
878	10759	7601
879	10771	7588
880	10783	7576
881	10795	7564
882	10808	7552
883	10820	7540
884	10832	7527
885	10844	7515
886	10856	7502
887	10867	7489
888	10879	7477
889	10891	7465
890	10904	7452
891	10917	7441
892	10928	7428
893	10942	7417
894	10952	7403
895	10963	7390
896	10975	7378
897	10987	7365
898	10999	7353
899	11011	7341
900	11024	7329
901	11035	7316
902	11047	7304
903	11059	7291
904	11072	7279
905	11084	7267
906	11098	7256
907	11110	7243
908	11123	7231
909	11133	7218
910	11145	7205
911	11157	7193
912	11169	7181
913	11182	7169
914	11193	7156
915	11206	7144
916	11218	7132
917	11230	7119
918	11242	7107
919	11255	7095
920	11266	7082
921	11278	7070
922	11289	7057
923	11302	7045
924	11316	7034
925	11328	7021
926	11340	7009
927	11353	6997
928	11366	6986
929	11379	6974
930	11390	6961
931	11401	6948
932	11414	6936
933	11426	6924
934	11439	6912
935	11451	6900
936	11463	6887
937	11474	6874
938	11484	6861
939	11496	6848
940	11508	6836
941	11521	6824
942	11533	6812
943	11545	6800
944	11557	6787
945	11568	6774
946	11580	6762
947	11593	6750
948	11606	6738
949	11620	6727
950	11632	6715
951	11643	6702
952	11656	6690
953	11669	6678
954	11682	6667
955	11694	6654
956	11706	6642
957	11719	6630
958	11733	6619
959	11746	6607
960	11759	6595
961	11772	6583
962	11783	6571
963	11796	6558
964	11807	6546
965	11820	6534
966	11831	6521
967	11843	6508
968	11856	6497
969	11867	6484
970	11877	6471
971	11889	6458
972	11900	6445
973	11911	6432
974	11922	6419
975	11934	6407
976	11946	6395
977	11957	6382
978	11969	6369
979	11981	6357
980	11994	6345
981	12006	6333
982	12019	6321
983	12030	6308
984	12042	6296
985	12054	6283
986	12066	6271
987	12078	6259
988	12090	6247
989	12102	6234
990	12113	6222
991	12125	6209
992	12137	6197
993	12149	6184
994	12159	6171
995	12170	6158
996	12182	6146
997	12195	6134
998	12207	6122
999	12218	6109
1000	12231	6097
1001	12241	6084
1002	12254	6072
1003	12266	6059
1004	12278	6047
1005	12290	6035
1006	12300	6021
1007	12312	6009
1008	12324	5997
1009	12336	5985
1010	12348	5972
1011	12360	5960
1012	12372	5947
1013	12384	5935
1014	12396	5923
1015	12408	5910
1016	12419	5898
1017	12430	5885
1018	12441	5872
1019	12454	5861
1020	12465	5848
1021	12476	5835
1022	12488	5823
1023	12499	5810
1024	12512	5798
1025	12524	5786
1026	12536	5773
1027	12546	5760
1028	12559	5748
1029	12571	5736
1030	12583	5724
1031	12594	5711
1032	12605	5698
1033	12617	5686
1034	12628	5673
1035	12638	5660
1036	12650	5648
1037	12662	5635
1038	12674	5623
1039	12685	5611
1040	12698	5598
1041	12709	5586
1042	12722	5574
1043	12733	5561
1044	12744	5549
1045	12756	5536
1046	12768	5524
1047	12782	5513
1048	12795	5501
1049	12805	5488
1050	12816	5475
1051	12828	5463
1052	12839	5450
1053	12850	5437
1054	12861	5425
1055	12873	5412
1056	12885	5400
1057	12899	5388
1058	12911	5376
1059	12924	5364
1060	12935	5352
1061	12947	5339
1062	12957	5326
1063	12968	5314
1064	12981	5302
1065	12993	5289
1066	13005	5277
1067	13017	5265
1068	13028	5252
1069	13039	5240
1070	13051	5227
1071	13063	5215
1072	13076	5203
1073	13087	5191
1074	13100	5179
1075	13112	5166
1076	13123	5154
1077	13135	5141
1078	13146	5129
1079	13156	5116
1080	13169	5104
1081	13181	5092
1082	13195	5080
1083	13206	5067
1084	13218	5055
1085	13230	5043
1086	13241	5030
1087	13252	5018
1088	13264	5006
1089	13275	4993
1090	13287	4981
1091	13299	4969
1092	13312	4957
1093	13322	4944
1094	13334	4931
1095	13346	4919
1096	13356	4906
1097	13370	4895
1098	13382	4882
1099	13394	4870
1100	13406	4858
1101	13417	4845
1102	13429	4833
1103	13440	4820
1104	13452	4808
1105	13464	4796
1106	13475	4783
1107	13486	4771
1108	13499	4759
1109	13511	4747
1110	13521	4734
1111	13532	4721
1112	13542	4708
1113	13555	4697
1114	13567	4684
1115	13580	4672
1116	13590	4659
1117	13602	4647
1118	13614	4635
1119	13627	4623
1120	13637	4610
1121	13650	4598
1122	13661	4586
1123	13674	4574
1124	13686	4562
1125	13697	4549
1126	13709	4537
1127	13721	4525
1128	13733	4512
1129	13745	4500
1130	13755	4487
1131	13768	4476
1132	13780	4463
1133	13791	4451
1134	13803	4439
1135	13815	4426
1136	13827	4414
1137	13839	4402
1138	13850	4389
1139	13862	4377
1140	13874	4365
1141	13886	4353
1142	13899	4341
1143	13911	4328
1144	13922	4316
1145	13933	4304
1146	13945	4291
1147	13955	4279
1148	13968	4267
1149	13980	4255
1150	13992	4242
1151	14004	4230
1152	14015	4218
1153	14027	4205
1154	14038	4193
1155	14049	4180
1156	14061	4168
1157	14073	4156
1158	14084	4143
1159	14095	4131
1160	14107	4119
1161	14118	4106
1162	14129	4094
1163	14140	4081
1164	14152	4069
1165	14163	4057
1166	14175	4044
1167	14186	4032
1168	14198	4020
1169	14211	4008
1170	14224	3996
1171	14235	3983
1172	14247	3971
1173	14259	3959
1174	14271	3947
1175	14283	3935
1176	14296	3923
1177	14308	3911
1178	14318	3898
1179	14330	3886
1180	14341	3873
1181	14352	3861
1182	14364	3849
1183	14375	3836
1184	14388	3824
1185	14401	3812
1186	14412	3800
1187	14423	3787
1188	14433	3775
1189	14446	3763
1190	14457	3750
1191	14471	3739
1192	14482	3726
1193	14494	3714
1194	14506	3702
1195	14517	3690
1196	14528	3677
1197	14538	3664
1198	14549	3652
1199	14562	3640
1200	14574	3628
1201	14587	3616
1202	14600	3604
1203	14611	3592
1204	14622	3579
1205	14633	3567
1206	14645	3555
1207	14655	3542
1208	14668	3530
1209	14680	3518
1210	14692	3506
1211	14705	3494
1212	14718	3482
1213	14729	3469
1214	14741	3457
1215	14751	3445
1216	14763	3433
1217	14778	3421
1218	14789	3409
1219	14801	3397
1220	14813	3384
1221	14824	3372
1222	14836	3360
1223	14847	3347
1224	14861	3336
1225	14872	3323
1226	14883	3311
1227	14895	3299
1228	14908	3287
1229	14921	3275
1230	14933	3263
1231	14945	3251
1232	14958	3239
1233	14969	3226
1234	14981	3214
1235	14993	3202
1236	15005	3190
1237	15016	3178
1238	15028	3165
1239	15040	3153
1240	15050	3141
1241	15062	3128
1242	15074	3116
1243	15087	3104
1244	15099	3092
1245	15111	3080
1246	15123	3068
1247	15134	3056
1248	15146	3043
1249	15157	3031
1250	15169	3019
1251	15182	3007
1252	15195	2995
1253	15208	2983
1254	15220	2971
1255	15233	2959
1256	15244	2947
1257	15255	2934
1258	15267	2922
1259	15279	2910
1260	15291	2898
1261	15304	2886
1262	15315	2873
1263	15325	2861
1264	15337	2849
1265	15349	2837
1266	15361	2824
1267	15373	2812
1268	15385	2800
1269	15396	2788
1270	15409	2776
1271	15421	2764
1272	15433	2752
1273	15444	2739
1274	15454	2727
1275	15467	2715
1276	15480	2703
1277	15492	2691
1278	15505	2679
1279	15518	2667
1280	15530	2655
1281	15541	2642
1282	15552	2630
1283	15563	2618
1284	15575	2606
1285	15587	2593
1286	15600	2581
1287	15612	2569
1288	15624	2557
1289	15636	2545
1290	15649	2533
1291	15662	2521
1292	15673	2509
1293	15685	2497
1294	15697	2484
1295	15709	2472
1296	15720	2460
1297	15733	2448
1298	15744	2436
1299	15757	2424
1300	15769	2412
1301	15781	2399
1302	15793	2387
1303	15805	2375
1304	15818	2363
1305	15828	2351
1306	15839	2339
1307	15851	2326
1308	15863	2314
1309	15873	2302
1310	15886	2290
1311	15898	2278
1312	15911	2266
1313	15921	2253
1314	15934	2241
1315	15946	2229
1316	15958	2217
1317	15969	2205
1318	15981	2193
1319	15992	2180
1320	16004	2168
1321	16015	2156
1322	16026	2144
1323	16038	2132
1324	16050	2119
1325	16062	2107
1326	16074	2095
1327	16086	2083
1328	16098	2071
1329	16109	2059
1330	16120	2046
1331	16133	2034
1332	16144	2022
1333	16156	2010
1334	16169	1998
1335	16181	1986
1336	16192	1974
1337	16204	1961
1338	16216	1949
1339	16226	1937
1340	16237	1925
1341	16248	1913
1342	16260	1900
1343	16272	1888
1344	16283	1876
1345	16295	1864
1346	16307	1852
1347	16319	1840
1348	16332	1828
1349	16343	1815
1350	16357	1804
1351	16368	1791
1352	16380	1779
1353	16391	1767
1354	16402	1755
1355	16414	1743
1356	16424	1730
1357	16436	1718
1358	16447	1706
1359	16458	1694
1360	16471	1682
1361	16484	1670
1362	16496	1658
1363	16508	1645
1364	16518	1633
1365	16528	1621
1366	16541	1609
1367	16552	1597
1368	16564	1585
1369	16576	1572
1370	16588	1560
1371	16601	1548
1372	16612	1536
1373	16624	1524
1374	16636	1512
1375	16648	1500
1376	16662	1488
1377	16676	1476
1378	16687	1464
1379	16699	1452
1380	16712	1440
1381	16725	1428
1382	16735	1415
1383	16747	1403
1384	16760	1391
1385	16773	1379
1386	16786	1367
1387	16800	1355
1388	16812	1343
1389	16823	1331
1390	16836	1319
1391	16848	1307
1392	16860	1295
1393	16873	1283
1394	16887	1271
1395	16900	1259
1396	16913	1247
1397	16926	1234
1398	16938	1222
1399	16952	1210
1400	16965	1198
1401	16978	1186
1402	16992	1174
1403	17005	1162
1404	17018	1150
1405	17030	1138
1406	17041	1126
1407	17053	1114
1408	17066	1102
1409	17078	1090
1410	17089	1077
1411	17103	1065
1412	17114	1053
1413	17127	1041
1414	17137	1029
1415	17148	1017
1416	17159	1005
1417	17171	992
1418	17183	980
1419	17196	968
1420	17209	956
1421	17219	944
1422	17230	932
1423	17242	920
1424	17253	908
1425	17265	895
1426	17278	883
1427	17290	871
1428	17301	859
1429	17313	847
1430	17326	835
1431	17336	823
1432	17348	811
1433	17360	799
1434	17370	786
1435	17383	774
1436	17394	762
1437	17408	750
1438	17417	738
1439	17428	726
1440	17439	714
1441	17451	701
1442	17462	689
1443	17475	677
1444	17488	665
1445	17501	653
1446	17513	641
1447	17524	629
1448	17536	617
1449	17548	605
1450	17561	593
1451	17572	580
1452	17584	568
1453	17595	556
1454	17605	544
1455	17616	532
1456	17627	520
1457	17637	508
1458	17649	495
1459	17662	483
1460	17674	471
1461	17685	459
1462	17698	447
1463	17711	435
1464	17722	423
1465	17735	411
1466	17746	399
1467	17758	387
1468	17771	375
1469	17782	362
1470	17793	350
1471	17805	338
1472	17816	326
1473	17828	314
1474	17841	302
1475	17854	290
1476	17867	278
1477	17879	266
1478	17891	254
1479	17904	241
1480	17915	229
1481	17926	217
1482	17938	205
1483	17950	193
1484	17963	181
1485	17976	169
1486	17987	157
1487	17999	145
1488	18012	133
1489	18026	120
1490	18039	108
1491	18050	96
1492	18062	84
1493	18074	72
1494	18086	60
1495	18098	48
1496	18110	36
1497	18122	24
1498	18134	12
1499	18146	0
